,Cluster_ID,Size,Representative,All_Features
510,92,2,AMDMNOx_accel_3M,"AMDMNOx_accel_3M, AMDMNOx_chg_3M"
509,150,2,ACOGNO_accel_12M,"ACOGNO_accel_12M, ACOGNO_chg_12M"
508,591,2,ACOGNO_accel_6M,"ACOGNO_accel_6M, ACOGNO_chg_6M"
506,592,2,ACOGNO_accel_3M,"ACOGNO_accel_3M, ACOGNO_chg_3M"
521,96,2,AMDMUOx_zscore_12M,"AMDMUOx_zscore_12M, AMDMUOx_zscore_6M"
499,346,2,PERMITS_zscore_12M,"PERMITS_zscore_12M, PERMITS_zscore_6M"
529,74,2,BUSINVx_zscore_12M,"BUSINVx_zscore_12M, BUSINVx_zscore_6M"
480,319,2,PERMITS_accel_12M,"PERMITS_accel_12M, PERMIT_accel_12M"
530,73,2,BUSINVx_accel_12M,"BUSINVx_accel_12M, BUSINVx_chg_12M"
531,138,2,ISRATIOx_accel_3M,"ISRATIOx_accel_3M, ISRATIOx_chg_3M"
533,191,2,ISRATIOx_accel_6M,"ISRATIOx_accel_6M, ISRATIOx_chg_6M"
534,151,2,ISRATIOx_accel_12M,"ISRATIOx_accel_12M, ISRATIOx_chg_12M"
535,567,2,M1SL_accel_3M,"M1SL_accel_3M, M1SL_chg_3M"
486,307,2,PERMITNE_zscore_12M,"PERMITNE_zscore_12M, PERMITNE_zscore_6M"
536,562,2,M1SL_accel_6M,"M1SL_accel_6M, M1SL_chg_6M"
539,566,2,M2SL_accel_3M,"M2SL_accel_3M, M2SL_chg_3M"
540,561,2,M2SL_accel_6M,"M2SL_accel_6M, M2SL_chg_6M"
447,318,2,HOUSTS_accel_12M,"HOUSTS_accel_12M, HOUST_accel_12M"
445,335,2,HOUST_zscore_12M,"HOUST_zscore_12M, HOUST_zscore_6M"
444,298,2,HOUSTS_accel_6M,"HOUSTS_accel_6M, HOUST_accel_6M"
396,268,2,USTRADE_chg_3M,"USTPU_chg_3M, USTRADE_chg_3M"
573,120,2,CONSPI_zscore_12M,"CONSPI_zscore_12M, CONSPI_zscore_6M"
413,274,2,USTRADE_zscore_12M,"USTRADE_zscore_12M, USTRADE_zscore_6M"
